id,time,name
5500077,7:00-8:00,Óð1
5499826,7:00-8:00,Óð2
5499845,7:00-8:00,Óð3
5500096,7:00-8:00,Óð4
5500468,7:00-8:00,Óð5
5499767,7:00-8:00,Óð6
5499864,7:00-8:00,Óð7
5500115,7:00-8:00,Óð8
4864019,18:30-20:30,Óð1
4864048,18:30-20:30,Óð2
4864077,18:30-20:30,Óð3
4864106,18:30-20:30,Óð4
4864135,18:30-20:30,Óð5
4864164,18:30-20:30,Óð6
4864193,18:30-20:30,Óð7
4864222,18:30-20:30,Óð8
4864023,20:30-22:30,Óð1
4864052,20:30-22:30,Óð2
4864081,20:30-22:30,Óð3
4864110,20:30-22:30,Óð4
4864139,20:30-22:30,Óð5
4864168,20:30-22:30,Óð6
4864197,20:30-22:30,Óð7
4864226,20:30-22:30,Óð8
