id,time,name
5500077,7:00-8:00,Óð1
5499826,7:00-8:00,Óð2
5499845,7:00-8:00,Óð3
5500096,7:00-8:00,Óð4
5500468,7:00-8:00,Óð5
5499767,7:00-8:00,Óð6
5499864,7:00-8:00,Óð7
5500115,7:00-8:00,Óð8
4863698,8:00-10:00,Óð1
4864027,8:00-10:00,Óð2
4864056,8:00-10:00,Óð3
4864085,8:00-10:00,Óð4
4864114,8:00-10:00,Óð5
4864143,8:00-10:00,Óð6
4864172,8:00-10:00,Óð7
4864201,8:00-10:00,Óð8
4864002,10:00-12:00,Óð1
4864031,10:00-12:00,Óð2
4864060,10:00-12:00,Óð3
4864089,10:00-12:00,Óð4
4864118,10:00-12:00,Óð5
4864147,10:00-12:00,Óð6
4864176,10:00-12:00,Óð7
4864205,10:00-12:00,Óð8
4864006,12:00-14:00,Óð1
4864035,12:00-14:00,Óð2
4864064,12:00-14:00,Óð3
4864093,12:00-14:00,Óð4
4864122,12:00-14:00,Óð5
4864151,12:00-14:00,Óð6
4864180,12:00-14:00,Óð7
4864209,12:00-14:00,Óð8
4864010,14:00-16:00,Óð1
4864039,14:00-16:00,Óð2
4864068,14:00-16:00,Óð3
4864097,14:00-16:00,Óð4
4864126,14:00-16:00,Óð5
4864155,14:00-16:00,Óð6
4864184,14:00-16:00,Óð7
4864213,14:00-16:00,Óð8
4864014,16:00-18:00,Óð1
4864043,16:00-18:00,Óð2
4864072,16:00-18:00,Óð3
4864101,16:00-18:00,Óð4
4864130,16:00-18:00,Óð5
4864159,16:00-18:00,Óð6
4864188,16:00-18:00,Óð7
4864217,16:00-18:00,Óð8
4864018,18:00-20:00,Óð1
4864047,18:00-20:00,Óð2
4864076,18:00-20:00,Óð3
4864105,18:00-20:00,Óð4
4864134,18:00-20:00,Óð5
4864163,18:00-20:00,Óð6
4864192,18:00-20:00,Óð7
4864221,18:00-20:00,Óð8
4864022,20:00-22:00,Óð1
4864051,20:00-22:00,Óð2
4864080,20:00-22:00,Óð3
4864109,20:00-22:00,Óð4
4864138,20:00-22:00,Óð5
4864167,20:00-22:00,Óð6
4864196,20:00-22:00,Óð7
4864225,20:00-22:00,Óð8
